date,federationId,match_link,season,serie,arena,home_team,away_team,domare1,domare2
2025-11-18,8,https://stats.innebandy.se/sasong/43/serie/40862/match/1598459,2025/26,Pantamera Flickor 2011/2012 A,Trädgårdsstadshallen (Tullinge),150316042,FBI Tullinge (B),FBI Tullinge (A),Tobias Jansson,Magnus Berg
2025-11-18,1,https://stats.innebandy.se/sasong/43/serie/40696/match/1572120,2025/26,Allsvenskan Damer Norra,Skyttis Arena,580026044,Örnsköldsvik IBK,RIG Umeå IBF,Marcus Lineruth,Kevin Neemé
2025-11-18,1,https://stats.innebandy.se/sasong/43/serie/40696/match/1572124,2025/26,Allsvenskan Damer Norra,Rotebrohallen,580026048,FBC Sollentuna,Nacka IBK,Stefano Bianque,Johan Larsson
2025-11-18,1,https://stats.innebandy.se/sasong/43/serie/41541/match/1594473,2025/26,Juniorallsvenskan C HJ18,Storvreta Sporthall,580702032,Storvreta Ungdom IBK,Rosersberg Arlanda IBK,Tony Nyberg,Jonas Nordqvist
2025-11-18,1,https://stats.innebandy.se/sasong/43/serie/41552/match/1593002,2025/26,Juniorallsvenskan D DJ18,Hammarö Arena,580733036,Skoghalls IBK Utveckling,Karlstad IBF Ungdom,Emil Ahlström,Isac Lindell-Green
2025-11-18,1,https://stats.innebandy.se/sasong/43/serie/41546/match/1591901,2025/26,Juniorallsvenskan H HJ18,"Daltorphallen, Borås",580707033,Borås IBF,Träslövsläge IF,Harri Tjäder,Pedram Koublani
2025-11-18,1,https://stats.innebandy.se/sasong/43/serie/41547/match/1593993,2025/26,Juniorallsvenskan I HJ18,SBB Arena,580708039,CL98IC,FBC Kalmarsund,Jonas Hellberg,Anders Stenberg
2025-11-18,10,https://stats.innebandy.se/sasong/43/serie/41180/match/1596112,2025/26,H6,Uppsala Life Arena,170006047,Uppsala Life IF U,Frötuna IBF U,Christoffer Wallenborg,Anton Ceder
2025-11-18,10,https://stats.innebandy.se/sasong/43/serie/41541/match/1594473,2025/26,Juniorallsvenskan C HJ18,Storvreta Sporthall,580702032,Storvreta Ungdom IBK,Rosersberg Arlanda IBK,Tony Nyberg,Jonas Nordqvist
2025-11-18,11,https://stats.innebandy.se/sasong/43/serie/41552/match/1593002,2025/26,Juniorallsvenskan D DJ18,Hammarö Arena,580733036,Skoghalls IBK Utveckling,Karlstad IBF Ungdom,Emil Ahlström,Isac Lindell-Green
2025-11-18,11,https://stats.innebandy.se/sasong/43/serie/41985/match/1632552,2025/26,Pojkar Röd Serie 3,Uddeholm Arena,183400028,Hagfors IBS,Filipstad IBK,Ali Husseini,Ian Sandström
2025-11-18,12,https://stats.innebandy.se/sasong/43/serie/40696/match/1572120,2025/26,Allsvenskan Damer Norra,Skyttis Arena,580026044,Örnsköldsvik IBK,RIG Umeå IBF,Marcus Lineruth,Kevin Neemé
2025-11-18,12,https://stats.innebandy.se/sasong/43/serie/41430/match/1598769,2025/26,Damer Division 1,Nolia Arena,192120050,Team Thorengruppen SK,FC Dalen,Linus Berglund,Sanna Åslin
2025-11-18,12,https://stats.innebandy.se/sasong/43/serie/41724/match/1637674,2025/26,Herrar Västerbottenserien Guld,Midgårdshallen,191151007,Thorengruppen IBK/TTG U SK,IBF Dalen/IBS Dalen,Tony Cederholm,Mats Öster
2025-11-18,12,https://stats.innebandy.se/sasong/43/serie/41727/match/1637782,2025/26,Herrar Västerbottenserien Silver Extra,FC Vindeln,191155007,Vindelns IF,Team Thoren Ungdom SK/TG IBK,Mats Lodesjö,Robert Segerstedt
