date,federationId,match_link,season,serie,arena,home_team,away_team,domare1,domare2
2025-11-22,5,https://stats.innebandy.se/sasong/43/serie/41160/match/1590942,2025/26,Herrar Division 3,Sporthallen Kungsör A,121050056,Kungsörs IBK H3,Gropens IF,Tomas Karlsson,Lars Flink
2025-11-22,5,https://stats.innebandy.se/sasong/43/serie/41543/match/1591638,2025/26,Juniorallsvenskan E HJ18,Sörby sporthall,580704040,IBF Örebro Ungdom/Ekeby IF,GS 86 AIF,Micael Svensson,William Wengelin
2025-11-22,5,https://stats.innebandy.se/sasong/43/serie/41251/match/1626243,2025/26,Pantamera FK2,Sörby sporthall,215301047,Ekeby IF F10/11,Nora IBK FK3,Philip Franzén,William Wengelin
2025-11-22,5,https://stats.innebandy.se/sasong/43/serie/41251/match/1626241,2025/26,Pantamera FK2,Tybblelundsskolan,215301045,Örebro SK Ungdomsklubb I-F2010,Askersunds IBK F10,Tomas Helgesson,Christher Johansson
2025-11-22,5,https://stats.innebandy.se/sasong/43/serie/41251/match/1626242,2025/26,Pantamera FK2,Nibblehallen,215301046,IBK Hallsta F10/11,Örebro SK Ungdomsklubb FK1,Leon Alfredsson,Albin Trygg
2025-11-22,5,https://stats.innebandy.se/sasong/43/serie/41253/match/1590051,2025/26,Pantamera FK4,Ullvihallen,215303032,IBK Köping 2012 FK4,Rönnby Västerås IBK Ung F11/12 FK4,Josef Dostman,Olle Sjöberg
2025-11-22,5,https://stats.innebandy.se/sasong/43/serie/41254/match/1590135,2025/26,Pantamera FK5 Väst,Lindbacka Sporthall,215304032,WSK Lindesberg 12/13 FK5,KFUM Örebro,,
2025-11-22,5,https://stats.innebandy.se/sasong/43/serie/41254/match/1590133,2025/26,Pantamera FK5 Väst,Skogstorpskolan,215304030,Ekeby IF F-13 FK5,Kopparbergs BK 13/14 FK5,Vincent Wickberg,William Widén
2025-11-22,5,https://stats.innebandy.se/sasong/43/serie/41254/match/1590134,2025/26,Pantamera FK5 Väst,Norrbyhallen,215304031,Lillån IBK Ungdom F2013/2014,IBK Köping 13/14 FK5,,
2025-11-22,5,https://stats.innebandy.se/sasong/43/serie/41880/match/1590191,2025/26,Pantamera FK5 Öst,GF Arena Surahammar,215305032,Surahammars IBF F-13/14 FK5,Rönnby Västerås IBK Ung 13/14 FK6,Oskar Stenström,Hannes Haraldsson
2025-11-22,5,https://stats.innebandy.se/sasong/43/serie/41880/match/1590189,2025/26,Pantamera FK5 Öst,Skinnskattebergs Sporthall,215305030,Knäppmora AIK 12/13 FK5,IBK Hallsta F12/13,,
2025-11-22,5,https://stats.innebandy.se/sasong/43/serie/41880/match/1590190,2025/26,Pantamera FK5 Öst,Tillberga Sporthall,215305031,Tillberga IK Ung 13/14 FK5,Per-Ols IBF F12/13 FK5,Alva Carlsson,Lionel Brandberg Breed
2025-11-22,5,https://stats.innebandy.se/sasong/43/serie/41297/match/1647160,2025/26,Pantamera FK6,Hovstaskolan,126451023,Hovsta IF 13/15 FK6,SMÅ IF FK6,Oliver Harling,Charlie Palmgren
2025-11-22,5,https://stats.innebandy.se/sasong/43/serie/41297/match/1647161,2025/26,Pantamera FK6,Skogstorpskolan,126451024,Ekeby IF F-14/15 FK 6,IBF Örebro Ungdom F14,Nellie Vennerstrand,Emmy Gunnarsson
2025-11-22,5,https://stats.innebandy.se/sasong/43/serie/41298/match/1654930,2025/26,Pantamera FK8,Lekebergs Sporthall (Fjugesta Bollhall),126452012,Gropens IF 15/18,Kumla IBK 2015,Oscar Karlsson,Oscar Thorstensson
2025-11-22,5,https://stats.innebandy.se/sasong/43/serie/41298/match/1654929,2025/26,Pantamera FK8,Lillåns skola pl 1,126452011,Lillån IBK Ungdom F2015/2016,Örebro SK Ungdomsklubb I-F15/16,Leon Hofgren,Ludvig Pettersson
2025-11-22,5,https://stats.innebandy.se/sasong/43/serie/41259/match/1638332,2025/26,Pantamera PK1,Sörby sporthall,215000031,Ekeby IF/ Ekeby IF Ungdom,IBF Örebro Ungdom/ Gropens IF,Philip Franzén,William Wengelin
2025-11-22,5,https://stats.innebandy.se/sasong/43/serie/41260/match/1602244,2025/26,Pantamera PK2,Tybblelundsskolan,215001048,Örebro SK Ung I-P10/11,Lillån IBK Ungdom P2010,Tomas Helgesson,Christher Johansson
2025-11-22,5,https://stats.innebandy.se/sasong/43/serie/41261/match/1640627,2025/26,Pantamera PK3,Tybblelundsskolan,215002047,Örebro SK Ungdomsklubb P 2010/11,KFUM Örebro,Melker Sandberg,Malte Hultqvist
2025-11-22,5,https://stats.innebandy.se/sasong/43/serie/41261/match/1640624,2025/26,Pantamera PK3,GF Arena Surahammar,215002044,Surahammars IBF/Skälby IBK,Askersunds IBK 10/11,Loke Bylund,Cecilia Contreras
2025-11-22,5,https://stats.innebandy.se/sasong/43/serie/41261/match/1640628,2025/26,Pantamera PK3,Lindbacka Sporthall,215002048,WSK Lindesberg/Kopparbergs BK,Pålsboda IBF 11/12,,
2025-11-22,5,https://stats.innebandy.se/sasong/43/serie/41281/match/1601974,2025/26,Pantamera PK4,Norrbyhallen,126481027,Lillån IBK Ungdom P2011/2012,Ekeby IF Svart P 12,Christher Johansson,Evelina Nilsson
2025-11-22,5,https://stats.innebandy.se/sasong/43/serie/41281/match/1601976,2025/26,Pantamera PK4,Mellringehallen - Örebro,126481029,IBF Örebro Ung PK4 2012,Åsbro GOIF PK4 11-13,Jonathan Johansson,Liam Lund
2025-11-22,5,https://stats.innebandy.se/sasong/43/serie/41282/match/1602127,2025/26,Pantamera PK5,Ljusnarshallen,126482022,Kopparbergs BK PK5 13/14,KFUM Örebro,,
2025-11-22,5,https://stats.innebandy.se/sasong/43/serie/41282/match/1602128,2025/26,Pantamera PK5,Vasahallen,126482023,IFK Arboga IBK P13 PK5 Örebro,Örebro SK Ung PK5 2012,Axel Rosenholm,Isak Velic
2025-11-22,5,https://stats.innebandy.se/sasong/43/serie/41282/match/1602126,2025/26,Pantamera PK5,Lekebergs Sporthall (Fjugesta Bollhall),126482021,Gropens IF 12/13 PK5,Ekeby IF P-13,Oscar Karlsson,Oscar Thorstensson
2025-11-22,5,https://stats.innebandy.se/sasong/43/serie/41288/match/1654161,2025/26,Pantamera PK7,Navets skola,126205020,Örebro SK Ung I-P2014,Pålsboda IBF 14/15,Albin Ljunggren,
2025-11-22,5,https://stats.innebandy.se/sasong/43/serie/41288/match/1654158,2025/26,Pantamera PK7,Lillåns skola pl 1,126205017,Lillån IBK Ungdom P2015,Örebro SK Ung I-P2015,Levi Jorstig,Oliver Bergendorff
2025-11-22,5,https://stats.innebandy.se/sasong/43/serie/41289/match/1654348,2025/26,Pantamera PK8,Rostahallen Örebro,126206043,IBF Örebro Ungdom P17/18,Örebro SK Ung I-P2016,Viktor Trampe,Lucas Wastesson
2025-11-22,5,https://stats.innebandy.se/sasong/43/serie/41289/match/1654342,2025/26,Pantamera PK8,Lillåns skola pl 1,126206037,Lillån IBK Ungdom P2016,Askersunds IBK P16 - Svart,Elton Lundin Trolin,Nils Nyman
2025-11-22,5,https://stats.innebandy.se/sasong/43/serie/41289/match/1654347,2025/26,Pantamera PK8,Hovstaskolan,126206042,Hovsta IF PK8,Örebro SK Ung P 15/16,Charlie Palmgren,Valter Elmvik
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/40693/match/1571827,2025/26,SSL - Svenska Superligan Herrar,Fortnox Arena A-hall,580001065,Växjö IBK,Linköping IBK,Daniel Böcker,Rickard Wissman
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41647/match/1584654,2025/26,Damer Division 1,Rosvalla Arena A,230300035,Onyx IBS,Solfjäderstaden IBK,Leo Lindh,Viktor Taavitsainen
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/40700/match/1570441,2025/26,Division 1 Herrar Mellersta,Vasa Arena,580033053,Bergs IK,Skoghalls IBK,Jonas Backman,Mattias Sjöstedt
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/40700/match/1570442,2025/26,Division 1 Herrar Mellersta,Linköpings Sporthall,580033054,Linköping FBC,Skattkärrs IK,Hannes Berggren,Linus Häggblom
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/40700/match/1570438,2025/26,Division 1 Herrar Mellersta,Åby Arena,580033050,Åby IBK,Hagfors IBS,David Björketun,Jonas Tidsjö
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/40700/match/1570439,2025/26,Division 1 Herrar Mellersta,Arvika Sporthall,580033051,Arvika IBF,Ledberg IBF,Fredrik Andersson,Handrin Thunqvist
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41870/match/1587777,2025/26,DJ,Larslunda Arena A,231100045,Strängnäs IBK,IK Standard/ Nyfors IK,Mauricio Diaz,Hampus Larsson
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41870/match/1587780,2025/26,DJ,Duveholmshallen A,231100048,Katrineholms IBF,Solfjäderstaden IBK,Håkan Rask,Karl-Gustav Bergström
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41870/match/1587779,2025/26,DJ,Västergård Arena A,231100047,Telge SIBK,Onyx IBS,Filip Skoglund,Mats Hällgren
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41583/match/1589170,2025/26,Flickor Blå Klass B,Radiomasten Innebandycenter,233201019,Solfjäderstaden IBK F 14 Svart,Linghems SK F 14/15 Svart,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41583/match/1589171,2025/26,Flickor Blå Klass B,Radiomasten Innebandycenter,233201020,Linköping IBK Ungdom F 13/14,Åby IBK Ungdom F 13/15 Svart,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41583/match/1589172,2025/26,Flickor Blå Klass B,Radiomasten Innebandycenter,233201021,Solfjäderstaden IBK F 14 Svart,Åby IBK Ungdom F 13/15 Svart,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41583/match/1589173,2025/26,Flickor Blå Klass B,Radiomasten Innebandycenter,233201022,Linghems SK F 14/15 Svart,Linköping IBK Ungdom F 13/14,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41583/match/1589174,2025/26,Flickor Blå Klass B,Radiomasten Innebandycenter,233201023,Åby IBK Ungdom F 13/15 Svart,Linghems SK F 14/15 Svart,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41583/match/1589175,2025/26,Flickor Blå Klass B,Radiomasten Innebandycenter,233201024,Linköping IBK Ungdom F 13/14,Solfjäderstaden IBK F 14 Svart,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41573/match/1592703,2025/26,Flickor Grön Klass B,Hackelhallen,234201017,Rimforsa IF F 16/17,Hjulsbro IK F 17 Blå,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41573/match/1592704,2025/26,Flickor Grön Klass B,Hackelhallen,234201018,Sturefors IF F 16/17 Orange,Ekängens IF F 16,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41573/match/1592705,2025/26,Flickor Grön Klass B,Hackelhallen,234201019,IBF Norrköping F 15/17,Mjölby IBK F 16/17 Svart,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41573/match/1592706,2025/26,Flickor Grön Klass B,Hackelhallen,234201020,Ledberg IBF F 16/17,Mjölby IBK F 16/17 Gul,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41573/match/1592707,2025/26,Flickor Grön Klass B,Hackelhallen,234201021,Hjulsbro IK F 17 Blå,IBF Norrköping F 15/17,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41573/match/1592708,2025/26,Flickor Grön Klass B,Hackelhallen,234201022,Ekängens IF F 16,Ledberg IBF F 16/17,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41573/match/1592709,2025/26,Flickor Grön Klass B,Hackelhallen,234201023,Mjölby IBK F 16/17 Svart,Rimforsa IF F 16/17,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41573/match/1592710,2025/26,Flickor Grön Klass B,Hackelhallen,234201024,Mjölby IBK F 16/17 Gul,Sturefors IF F 16/17 Orange,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41573/match/1592711,2025/26,Flickor Grön Klass B,Hackelhallen,234201025,Hjulsbro IK F 17 Blå,Mjölby IBK F 16/17 Gul,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41573/match/1592712,2025/26,Flickor Grön Klass B,Hackelhallen,234201026,Ekängens IF F 16,Mjölby IBK F 16/17 Svart,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41573/match/1592713,2025/26,Flickor Grön Klass B,Hackelhallen,234201027,Rimforsa IF F 16/17,IBF Norrköping F 15/17,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41573/match/1592714,2025/26,Flickor Grön Klass B,Hackelhallen,234201028,Sturefors IF F 16/17 Orange,Ledberg IBF F 16/17,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41573/match/1592715,2025/26,Flickor Grön Klass B,Hackelhallen,234201029,IBF Norrköping F 15/17,Ekängens IF F 16,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41573/match/1592716,2025/26,Flickor Grön Klass B,Hackelhallen,234201030,Ledberg IBF F 16/17,Hjulsbro IK F 17 Blå,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41573/match/1592717,2025/26,Flickor Grön Klass B,Hackelhallen,234201031,Mjölby IBK F 16/17 Svart,Sturefors IF F 16/17 Orange,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41573/match/1592718,2025/26,Flickor Grön Klass B,Hackelhallen,234201032,Mjölby IBK F 16/17 Gul,Rimforsa IF F 16/17,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41409/match/1572580,2025/26,Herrar Division 2,Vasa Arena,230100046,Linköpings Universitets AIF IBK,Åby IBK Ungdom,Felix Jonsson,Alen Turcinhodzic
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41409/match/1572581,2025/26,Herrar Division 2,Stureforshallen,230100047,Sturefors IF,Rimforsa IF,Oscar Bard,Thomas Nystrand
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41409/match/1572577,2025/26,Herrar Division 2,Vasa Arena,230100043,Hjulsbro IK,FBC Fiskeby,Johan Nordlander,Anton Nilsson
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41410/match/1572709,2025/26,Herrar Division 3,Sporthallen Vikingen,230200043,Söderköpings IBK,Borensberg IBC,Daniel Hermansson,Rikard Karlsson
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41432/match/1573353,2025/26,Herrar Division 4,Överums Sporthall,230250043,IBF Antvarden U-lag,Boxholms IBK,Albin Häll,Martin Dahl
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41943/match/1603327,2025/26,HJ Södra,Boxholm Sporthall,231001031,Boxholms IBK HJ,Rimforsa IF HJ,Minh Hong Pham,Jan Wentzell
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41943/match/1603326,2025/26,HJ Södra,Radiomasten Innebandycenter,231001030,Solfjäderstaden IBK HJ,Finspång IBK HJ,Jan Wentzell,Minh Hong Pham
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41552/match/1593005,2025/26,Juniorallsvenskan D DJ18,Vasa Arena,580733039,Hjulsbro IK,Linköping IBK Ungdom,Andreas Karlsson,Emil Magnusson
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41524/match/1635272,2025/26,Pantamera Pojkar Röd Klass A,Furuborghallen,232000026,Nykvarns IF,Bergs IK P Röd A,Elin Holm,Linus Löfstedt
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41524/match/1635275,2025/26,Pantamera Pojkar Röd Klass A,Åby Arena,232000029,Åby IBK Ungdom P 08/09,Åby IBK Ungdom 10/11 Svart,Alen Turcinhodzic,Mikael Sörman
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41526/match/1588200,2025/26,Pantamera Pojkar Röd Klass C,Kärnahallen,232002029,Bergs IK P 11/12,Linköping IBK Ungdom P 10/11 Vit,Love Rudberg,Theo Sandell
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41526/match/1588201,2025/26,Pantamera Pojkar Röd Klass C,Kärnahallen,232002030,Vidingsjö MOIF P 11 Vit,Solfjäderstaden IBK P 11,Hampus Ericsson,David Wimarken
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41527/match/1588299,2025/26,Pantamera Pojkar Röd Klass D,Bökensved Sporthall,232003038,Westerviks IBK P 10/11 Vit,Åby IBK Ungdom P12/14 Svart,Rasmus Jacobsson,Isac Graaf
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41527/match/1588302,2025/26,Pantamera Pojkar Röd Klass D,Kärnahallen,232003041,Vidingsjö MOIF P 11 Röd,Linghems SK P 10/12 Svart,Smilla Jern,Kim Nguyen
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41528/match/1588429,2025/26,Pantamera Pojkar Röd Klass E,Överums Sporthall,232004036,IBF Antvarden P 12/13,Westerviks IBK P 12/13,Albin Häll,Martin Dahl
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41528/match/1588425,2025/26,Pantamera Pojkar Röd Klass E,Arena Grosvad,232004032,Finspång IBK PF 11/13 Svart,Söderköpings IBK P 12/13,Peter Palmér,David Gustafsson
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41635/match/1589774,2025/26,Pojkar Blå Klass A,Åby Arena,233000019,Åby IBK Ungdom P 12/15 Blå,Solfjäderstaden IBK P 14,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41635/match/1589775,2025/26,Pojkar Blå Klass A,Åby Arena,233000020,Sturefors IF P 14 Röd,Linköping IBK Ungdom P 13,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41635/match/1589776,2025/26,Pojkar Blå Klass A,Åby Arena,233000021,Åby IBK Ungdom P 12/15 Blå,Linköping IBK Ungdom P 13,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41635/match/1589777,2025/26,Pojkar Blå Klass A,Åby Arena,233000022,Solfjäderstaden IBK P 14,Sturefors IF P 14 Röd,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41635/match/1589778,2025/26,Pojkar Blå Klass A,Åby Arena,233000023,Linköping IBK Ungdom P 13,Solfjäderstaden IBK P 14,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41635/match/1589779,2025/26,Pojkar Blå Klass A,Åby Arena,233000024,Sturefors IF P 14 Röd,Åby IBK Ungdom P 12/15 Blå,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41637/match/1592007,2025/26,Pojkar Blå Klass C,Wahlbeckshallen A,233002049,Vidingsjö MOIF P 14 Vit,Ledberg IBF P 14/15 Vit,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41637/match/1592008,2025/26,Pojkar Blå Klass C,Wahlbeckshallen A,233002050,Solfjäderstaden IBK P 14 Röd,Solfjäderstaden IBK P 14/15 Svart,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41637/match/1592009,2025/26,Pojkar Blå Klass C,Wahlbeckshallen A,233002051,Vidingsjö MOIF P 14 Vit,Solfjäderstaden IBK P 14/15 Svart,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41637/match/1592010,2025/26,Pojkar Blå Klass C,Wahlbeckshallen A,233002052,Ledberg IBF P 14/15 Vit,Solfjäderstaden IBK P 14 Röd,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41637/match/1592011,2025/26,Pojkar Blå Klass C,Wahlbeckshallen A,233002053,Solfjäderstaden IBK P 14/15 Svart,Ledberg IBF P 14/15 Vit,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41637/match/1592012,2025/26,Pojkar Blå Klass C,Wahlbeckshallen A,233002054,Solfjäderstaden IBK P 14 Röd,Vidingsjö MOIF P 14 Vit,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41639/match/1592241,2025/26,Pojkar Blå Klass E,Stureforshallen,233004031,Sturefors IF P 15,Hjulsbro IK P 16 Röd,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41639/match/1592242,2025/26,Pojkar Blå Klass E,Stureforshallen,233004032,Vidingsjö MOIF P 15,Ekängens IF P 14/15 Vit,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41639/match/1592243,2025/26,Pojkar Blå Klass E,Stureforshallen,233004033,Sturefors IF P 15,Ekängens IF P 14/15 Vit,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41639/match/1592244,2025/26,Pojkar Blå Klass E,Stureforshallen,233004034,Hjulsbro IK P 16 Röd,Vidingsjö MOIF P 15,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41639/match/1592245,2025/26,Pojkar Blå Klass E,Stureforshallen,233004035,Ekängens IF P 14/15 Vit,Hjulsbro IK P 16 Röd,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41639/match/1592246,2025/26,Pojkar Blå Klass E,Stureforshallen,233004036,Vidingsjö MOIF P 15,Sturefors IF P 15,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41639/match/1592253,2025/26,Pojkar Blå Klass E,Ljungsbro Sporthall,233004043,Bergs IK P 16 Gul,Finspång IBK PF 15 Röd,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41639/match/1592254,2025/26,Pojkar Blå Klass E,Ljungsbro Sporthall,233004044,Solfjäderstaden IBK P 16 Svart,KFUM Norrköping IBF P 15/16 Blå,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41639/match/1592255,2025/26,Pojkar Blå Klass E,Ljungsbro Sporthall,233004045,Bergs IK P 16 Gul,KFUM Norrköping IBF P 15/16 Blå,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41639/match/1592256,2025/26,Pojkar Blå Klass E,Ljungsbro Sporthall,233004046,Finspång IBK PF 15 Röd,Solfjäderstaden IBK P 16 Svart,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41639/match/1592257,2025/26,Pojkar Blå Klass E,Ljungsbro Sporthall,233004047,KFUM Norrköping IBF P 15/16 Blå,Finspång IBK PF 15 Röd,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41639/match/1592258,2025/26,Pojkar Blå Klass E,Ljungsbro Sporthall,233004048,Solfjäderstaden IBK P 16 Svart,Bergs IK P 16 Gul,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41645/match/1605199,2025/26,Pojkar Grön Klass C,Ljungsbro Sporthall,234002079,Bergs IK P 17 Svart,Solfjäderstaden IBK P17,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41645/match/1605200,2025/26,Pojkar Grön Klass C,Ljungsbro Sporthall,234002080,Bergs IK P 17 Vit,Solfjäderstaden IBK P17 2,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41645/match/1605219,2025/26,Pojkar Grön Klass C,Kungsängshallen,234002099,KFUM Norrköping IBF P17-18 Blå,Hjulsbro IK P-2018 blå,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41645/match/1605220,2025/26,Pojkar Grön Klass C,Kungsängshallen,234002100,KFUM Norrköping IBF P17-18 Vit,Hjulsbro IK P-2018 röd,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41645/match/1605201,2025/26,Pojkar Grön Klass C,Ljungsbro Sporthall,234002081,Vidingsjö MOIF p-17,Linköping IBK Ungdom P17-18 Tallboda Svart,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41645/match/1605202,2025/26,Pojkar Grön Klass C,Ljungsbro Sporthall,234002082,Hjulsbro IK P-2017 vit,Linköping IBK Ungdom P17-18 Tallboda Vit,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41645/match/1605221,2025/26,Pojkar Grön Klass C,Kungsängshallen,234002101,Brokinds IF P 17/18,Solfjäderstaden IBK P 17 3,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41645/match/1605222,2025/26,Pojkar Grön Klass C,Kungsängshallen,234002102,Brokinds IF P 17/18 D,Solfjäderstaden IBK P 18 1,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41645/match/1605203,2025/26,Pojkar Grön Klass C,Ljungsbro Sporthall,234002083,Mjölby IBK P 17 Gul,Bergs IK P 17 Svart,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41645/match/1605204,2025/26,Pojkar Grön Klass C,Ljungsbro Sporthall,234002084,Mjölby IBK P 17 Svart,Bergs IK P 17 Vit,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41645/match/1605223,2025/26,Pojkar Grön Klass C,Kungsängshallen,234002103,Linköping IBK Ungdom P17 Gottfridsberg,Hjulsbro IK P-2018 röd,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41645/match/1605224,2025/26,Pojkar Grön Klass C,Kungsängshallen,234002104,Hjulsbro IK P-2018 blå,KFUM Norrköping IBF P17-18 Vit,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41645/match/1605205,2025/26,Pojkar Grön Klass C,Ljungsbro Sporthall,234002085,Vidingsjö MOIF p-17,Solfjäderstaden IBK P17,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41645/match/1605206,2025/26,Pojkar Grön Klass C,Ljungsbro Sporthall,234002086,Hjulsbro IK P-2017 vit,Solfjäderstaden IBK P17 2,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41645/match/1605225,2025/26,Pojkar Grön Klass C,Kungsängshallen,234002105,Solfjäderstaden IBK P 17 3,KFUM Norrköping IBF P17-18 Blå,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41645/match/1605226,2025/26,Pojkar Grön Klass C,Kungsängshallen,234002106,Solfjäderstaden IBK P 18 1,Brokinds IF P 17/18,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41645/match/1605207,2025/26,Pojkar Grön Klass C,Ljungsbro Sporthall,234002087,Linköping IBK Ungdom P17-18 Tallboda Svart,Mjölby IBK P 17 Gul,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41645/match/1605208,2025/26,Pojkar Grön Klass C,Ljungsbro Sporthall,234002088,Linköping IBK Ungdom P17-18 Tallboda Vit,Mjölby IBK P 17 Svart,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41645/match/1605227,2025/26,Pojkar Grön Klass C,Kungsängshallen,234002107,Linköping IBK Ungdom P17 Gottfridsberg,Hjulsbro IK P-2018 blå,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41645/match/1605228,2025/26,Pojkar Grön Klass C,Kungsängshallen,234002108,Hjulsbro IK P-2018 röd,Brokinds IF P 17/18 D,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41645/match/1605209,2025/26,Pojkar Grön Klass C,Ljungsbro Sporthall,234002089,Bergs IK P 17 Svart,Vidingsjö MOIF p-17,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41645/match/1605210,2025/26,Pojkar Grön Klass C,Ljungsbro Sporthall,234002090,Bergs IK P 17 Vit,Hjulsbro IK P-2017 vit,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41645/match/1605229,2025/26,Pojkar Grön Klass C,Kungsängshallen,234002109,KFUM Norrköping IBF P17-18 Vit,Brokinds IF P 17/18,,
2025-11-22,16,https://stats.innebandy.se/sasong/43/serie/41645/match/1605230,2025/26,Pojkar Grön Klass C,Kungsängshallen,234002110,KFUM Norrköping IBF P17-18 Blå,Solfjäderstaden IBK P 18 1,,
