Domare,Date,Matcher
Arwid Hedlund,2023-10-08,1
Christian Ragnevi,2023-10-08,1
Christian Svärdström,2023-10-08,1
Felix Broström,2023-10-08,1
Filip Andersson,2023-10-08,1
Helin Beyza Altuntas,2023-10-08,1
Henry Tames,2023-10-08,1
Isak Mörnstål,2023-10-08,1
Jonas Söderberg,2023-10-08,1
Lazo Cesto,2023-10-08,1
Linus Svensson,2023-10-08,1
Marcus Larsson,2023-10-08,1
Marcus Orrhult,2023-10-08,1
Martin Almsberg,2023-10-08,1
Mathias Johansson,2023-10-08,1
Moa Ljungqvist,2023-10-08,1
Oliver Engström,2023-10-08,1
Oskar Lööke,2023-10-08,1
Petter Enlund,2023-10-08,1
Sebastian Ågren,2023-10-08,1
Sebastian Kiejs Huhmarniemi,2023-10-08,1
Tage Sandquist,2023-10-08,1
Felix Broström,2023-10-09,1
Måns Bartilson,2023-10-09,1
Christoffer Danielsson,2023-10-10,1
Gustav Garplid,2023-10-10,1
Isak Skarrie,2023-10-10,1
Måns Löfgren,2023-10-10,1
Susanne Andersson,2023-10-10,1
Zara Carlsson,2023-10-10,1
Alice Haeggman,2023-10-11,1
Daniel Hultberg,2023-10-11,1
Felix Broström,2023-10-11,1
Kevin Cardell,2023-10-11,1
Måns Bartilson,2023-10-11,1
Noel Myhrén,2023-10-11,1
Oliwer Nyrén,2023-10-11,1
Roger Zahnér,2023-10-11,1
Sofia Färm,2023-10-11,1
Wessam Abdellrazek,2023-10-11,1
Adnan Tongur,2023-10-12,1
Håkan Krafft,2023-10-12,1
Hajrudin Begic,2023-10-12,1
Jesper Björklund Greter,2023-10-12,1
Pierre Eberhard Berg,2023-10-12,1
Robin Cederdahl,2023-10-12,1
Adem Can,2023-10-13,3
Aldin Hadziselmovic,2023-10-13,3
Senad Olevic,2023-10-13,3
Måns Bartilson,2023-10-13,2
Adam Jällfält,2023-10-13,1
Adnan Tongur,2023-10-13,1
Albin Rosberg,2023-10-13,1
Alexander Pavlovic,2023-10-13,1
Alexander Rydqvist,2023-10-13,1
Christian Svärdström,2023-10-13,1
Emir Rajabi,2023-10-13,1
Felix Bark Peterson,2023-10-13,1
Felix Broström,2023-10-13,1
Håkan Krafft,2023-10-13,1
Hajrudin Begic,2023-10-13,1
Henry Tames,2023-10-13,1
Joel Mellby,2023-10-13,1
Lazo Cesto,2023-10-13,1
Måns Löfgren,2023-10-13,1
Marcus Larsson,2023-10-13,1
Marcus Orrhult,2023-10-13,1
Oscar Skogsberg,2023-10-13,1
Patrich Hellfärdsson,2023-10-13,1
Per Sundvall,2023-10-13,1
Pierre Eberhard Berg,2023-10-13,1
Stefan Olsson,2023-10-13,1
Susanne Andersson,2023-10-13,1
Thomas Johansson,2023-10-13,1
Torbjörn Zahner,2023-10-13,1
Yao-Zu Galby,2023-10-13,1
Zara Carlsson,2023-10-13,1
Emir Rajabi,2023-10-14,5
