Datum,Tid,Serie,Hemmalag,Bortalag,Arena,Domare1,Domare2,url
2025-11-29,13:15,Herrar Div. 2,Frölunda IBK H2,Lindome IBK H2,Frölunda Kulturhus,Adnan Tongur,Hajrudin Begic,https://stats.innebandy.se/sasong/43/serie/42061/match/1629856
2025-11-29,13:30,Herrar Div. 2,Herrestads AIF H2,Surte IS IBK H2,Rampen Sporthall (Källdalsskolan),Christian Svärdström,Marcus Orrhult,https://stats.innebandy.se/sasong/43/serie/42061/match/1629855
2025-11-29,14:00,Herrar Div. 2,IBF Älvstranden H2,Almås IBF H2,Santoshallen,Linus Backlund,Tommy Runhammar,https://stats.innebandy.se/sasong/43/serie/42061/match/1629859
2025-11-29,15:00,Herrar Div. 2,Stenungsunds IBK H2,Mölndals IBF H2,Stenungsund Arena,Magnus Fredriksson,Robin Boqvist,https://stats.innebandy.se/sasong/43/serie/42061/match/1629854
2025-11-29,17:30,Herrar Div. 2,Göteborg City IBK H2,Landvetter IBK H2,Prioritet SERNEKE Arena A-Hallen,Robin Cederdahl,Alexander Pavlovic,https://stats.innebandy.se/sasong/43/serie/42061/match/1629857
2025-11-29,12:30,Herrar Div. 3 A,Stenungsunds IBK H3,FBC Lerum H3,Stenungsund Arena,Magnus Fredriksson,Robin Boqvist,https://stats.innebandy.se/sasong/43/serie/42064/match/1630695
2025-11-29,16:00,Herrar Div. 3 A,Myggenäs IBK H3,Dingle AIK H3,Häggvallsskolan,Adnan Mehmedagic,Alexander Hellström,https://stats.innebandy.se/sasong/43/serie/42064/match/1630697
2025-11-29,11:51,Herrar Div. 3 A,IBK Göteborg H3,IBK Kungälv H3,Torpahallen,Emir Rajabi,Kian Keinia,https://stats.innebandy.se/sasong/43/serie/42064/match/1630694
2025-11-29,10:45,Herrar Div. 3 B,Frölunda IBK H3,Mölndals IBF H3,Frölunda Kulturhus,Adnan Tongur,Hajrudin Begic,https://stats.innebandy.se/sasong/43/serie/42065/match/1630562
2025-11-29,13:20,Herrar Div. 4 A,Landvetter IBK H4 A,Överby IBK H4,Pinntorps Idrottshall,Mathias Hannu,Per Sundvall,https://stats.innebandy.se/sasong/43/serie/42079/match/1647925
2025-11-29,19:30,Juniorallsvenskan G DJ18,Lindås IBK/Lindås IBF,Onsala IBK,Lindås Waves Arena,Alexander T Forsberg,Tommy Runhammar,https://stats.innebandy.se/sasong/43/serie/41555/match/1606487
2025-11-29,14:00,Klubbhuset Blå Flickor 14 A Höst,Dingle AIK F14-16,FBC Lerum Utveckling F14 Vit,Munkedals Idrottshall,Martin Andersson,,https://stats.innebandy.se/sasong/43/serie/42410/match/1650974
2025-11-29,09:50,Klubbhuset Blå Flickor 14 B Höst,Stenungsunds IBK F13-14 Blå,IK Zenith 14,Stenungsund Arena,Lucas Nordberg,Alexander Magnusson,https://stats.innebandy.se/sasong/43/serie/42411/match/1651015
2025-11-29,11:00,Klubbhuset Blå Flickor 14 B Höst,Stenungsunds IBK F13-14 Svart,Floda IBK F13/14 Vit,Stenungsund Arena,Lucas Nordberg,Elias Eriksson,https://stats.innebandy.se/sasong/43/serie/42411/match/1651018
2025-11-29,11:00,Klubbhuset Blå Flickor 15 A Höst,Landvetter IBK F15 Blå,Dingle AIK F14-16 Vit,Pinntorps Idrottshall,Milla Hukka,Felicia Setterlind,https://stats.innebandy.se/sasong/43/serie/42412/match/1652385
2025-11-29,13:15,Klubbhuset Blå Flickor 15 A Höst,Öckerö IBK F15,Ale IBF F14/15 Vit,Hedenskolans Idrottshall,Molly Knutsson,Sam Olovson,https://stats.innebandy.se/sasong/43/serie/42412/match/1652382
2025-11-29,09:00,Klubbhuset Blå Flickor 16 Höst,Lindome IBK F16/17 Lila,IBF Älvstranden F16,Almåshallen A,Liam Liljeblad,,https://stats.innebandy.se/sasong/43/serie/42408/match/1650792
2025-11-29,12:00,Klubbhuset Blå Flickor 16 Höst,Landvetter IBK F16 Blå,Lindås IBK F16-17 Svart,Pinntorps Idrottshall,Milla Hukka,Alice Pehrsson,https://stats.innebandy.se/sasong/43/serie/42408/match/1650771
2025-11-29,09:00,Klubbhuset Blå Pojkar 14 A Höst,Eken IBK P14,Frölunda IBK P14 Röd,Ekenhallen 1,Felicia Håman,Molly Wallberg,https://stats.innebandy.se/sasong/43/serie/42398/match/1652728
2025-11-29,13:40,Klubbhuset Blå Pojkar 14 A Höst,Mölndals IBF P14,FBC Lerum Utveckling P14 Röd,Aktiviteten A-Hall,Kevin Chalien,Tage Roos,https://stats.innebandy.se/sasong/43/serie/42398/match/1652732
2025-11-29,16:15,Klubbhuset Blå Pojkar 14 A Höst,Herrestads AIF P13/14 Blått,Kärra IBK P13/14 Röd,Rampen Sporthall (Källdalsskolan),Wille Larsson,Gustav Axelsson,https://stats.innebandy.se/sasong/43/serie/42398/match/1652735
2025-11-29,10:00,Klubbhuset Blå Pojkar 14 B Höst,Landvetter IBK P14 Vit,Floda IBK P14 Svart,Pinntorps Idrottshall,Alice Pehrsson,Felicia Setterlind,https://stats.innebandy.se/sasong/43/serie/42399/match/1652871
2025-11-29,11:30,Klubbhuset Blå Pojkar 14 B Höst,Pixbo IBK P14 Röd,IBF Älvstranden P14 Svart,Wallenstam Arena B,Eline Annér,,https://stats.innebandy.se/sasong/43/serie/42399/match/1652869
2025-11-29,13:15,Klubbhuset Blå Pojkar 14 B Höst,FBC Lerum Utveckling P14 Vit,IBF Backadalen P13/14 Svart,Rydsbergshallen,Ella Olofsson,Ida Granbom,https://stats.innebandy.se/sasong/43/serie/42399/match/1652868
2025-11-29,12:15,Klubbhuset Blå Pojkar 14 C Höst,Myggenäs IBK P 14 Grön,IK Zenith P14 Grön,Häggvallsskolan,Lucas Schöldström,Henry Frydensbjerg,https://stats.innebandy.se/sasong/43/serie/42400/match/1652249
2025-11-29,12:30,Klubbhuset Blå Pojkar 14 C Höst,Pixbo IBK P14 Svart,Hindås IBK P14,Wallenstam Arena B,Julia Winblad,,https://stats.innebandy.se/sasong/43/serie/42400/match/1652247
2025-11-29,14:30,Klubbhuset Blå Pojkar 14 C Höst,Utbynäs SK P 14 Blå,Floda IBK P14 Vit,Prioritet SERNEKE Arena B-Hallen,Elias Kristoffersson,Einar Junsten,https://stats.innebandy.se/sasong/43/serie/42400/match/1652246
2025-11-29,09:00,Klubbhuset Blå Pojkar 15 A Höst,FBC Partille P15 Öjersjö,IBF Backadalen P15/16 Röd,Qvisthallen,Evert Elin Lind Jagner,Josephine Danielsson,https://stats.innebandy.se/sasong/43/serie/42401/match/1652527
