Datum,Tid,Serie,Hemmalag,Bortalag,Arena,Domare1,Domare2,url
2024-01-12,19:35,Pantamera Pojk Mörkröd B Vår,Pixbo IBF HJ,Stenungsunds IBK HJ,Wallenstam Arena B,Adem Can,Goran Kuduzovic,https://stats.innebandy.se/sasong/43/serie/36855/match/1439113
2024-01-12,19:00,Pantamera Pojk Mörkröd C Vår,Lindome IBK HJ,Landvetter IBK P07 Vit,Almåshallen A,Yao-Zu Galby,Emir Rajabi,https://stats.innebandy.se/sasong/43/serie/36856/match/1439144
2024-01-12,18:10,Pantamera Pojkar Röd B Vår,Lindås IBK P08 Svart,IBF Backadalen / Mölndals IBF P07/08,Lindås Waves Arena,Henrik Nordström,Almir Mehmedagic,https://stats.innebandy.se/sasong/43/serie/36844/match/1438482
2024-01-12,19:30,Pantamera Pojkar Röd H Vår,IK Zenith P09 Grön,Lindome IBK P10 Grön,Björlanda Idrottshall,Mohsen Gholami,Jasmin Dzanic,https://stats.innebandy.se/sasong/43/serie/36850/match/1438664
2024-01-12,18:15,Pantamera Pojkar Röd M Vår FD,Öckerö IBK P10 Blå,IBK Göteborg P09/10 Vit,Hedenskolans Idrottshall,Senad Olevic,Adam Jällfält,https://stats.innebandy.se/sasong/43/serie/36877/match/1438814
2024-01-13,17:00,SSL - Svenska Superligan Dam,Pixbo IBK,IBF Falun,Wallenstam Arena A,Daniel Hultberg,Edo Sabanovic,https://stats.innebandy.se/sasong/43/serie/34685/match/1344758
2024-01-13,14:15,Klubbhuset Damer Div. 1,IBF Backadalen D1,Stenungsunds IBK D1,Tuve Sporthall,Torbjörn Zahner,Roger Zahnér,https://stats.innebandy.se/sasong/43/serie/35123/match/1372425
2024-01-13,17:00,Klubbhuset Damer Div. 1,FBC Lerum D1,Mölndals IBF D1,Lerum Arena A,Mats Sällberg,Joakim Jögi,https://stats.innebandy.se/sasong/43/serie/35123/match/1372427
2024-01-13,17:15,Klubbhuset Damer Div. 1,Lindås IBF D1,IK Zenith D1,Lindås Waves Arena,Jesper Björklund Greter,Sandra Lindskog,https://stats.innebandy.se/sasong/43/serie/35123/match/1372422
2024-01-13,14:00,Klubbhuset Damer Div. 2,IBK Göteborg/IBK Bergum D2,Landvetter IBK D2,Torpahallen,Adnan Mehmedagic,Felix Bark Peterson,https://stats.innebandy.se/sasong/43/serie/35124/match/1373163
2024-01-13,16:00,Klubbhuset Damer Div. 2,FBC Vinga D2,IBK Älvstranden Dam,Frölunda Kulturhus,Adem Can,Oscar Skogsberg,https://stats.innebandy.se/sasong/43/serie/35124/match/1373160
2024-01-13,13:30,Klubbhuset Herrar Div. 2,FBC Vinga H2,Lindome IBK H2,Frölunda Kulturhus,Marcus Larsson,Oscar Skogsberg,https://stats.innebandy.se/sasong/43/serie/35117/match/1372159
2024-01-13,14:15,Klubbhuset Herrar Div. 2,IBF Älvstranden H2,Surte IS IBK H2,Santoshallen,Marcus Orrhult,Christian Svärdström,https://stats.innebandy.se/sasong/43/serie/35117/match/1372161
2024-01-13,15:30,Klubbhuset Herrar Div. 2,Kärra IBK H2,Dingle AIK H2,Kärra Sporthall,Adam Jällfält,Thomas Johansson,https://stats.innebandy.se/sasong/43/serie/35117/match/1372158
2024-01-13,17:00,Klubbhuset Herrar Div. 2,IBK Göteborg H2,Herrestads AIF Rockets H2,Lundenhallen,Adnan Tongur,Hajrudin Begic,https://stats.innebandy.se/sasong/43/serie/35117/match/1372160
2024-01-13,15:00,Klubbhuset Herrar Div. 3,Myggenäs IBK H3,Hovås IBK H3,Häggvallsskolan,Magnus Fredriksson,Pierre Eberhard Berg,https://stats.innebandy.se/sasong/43/serie/35118/match/1372817
2024-01-13,17:00,Klubbhuset Herrar Div. 3,Lindome IBK H3,Lindås IBF H3,Almåshallen A,Marcus Orrhult,Tommy Runhammar,https://stats.innebandy.se/sasong/43/serie/35118/match/1372816
2024-01-13,14:30,Klubbhuset Herrar Div. 4,Sörgårdens IBF H4,Öckerö IBK H4,Lundenhallen,Adnan Tongur,Hajrudin Begic,https://stats.innebandy.se/sasong/43/serie/35119/match/1372682
2024-01-13,17:00,Klubbhuset Herrar Div. 4,IBK Göteborg H4,FBC Partille H4,Torpahallen,Adnan Mehmedagic,Felix Bark Peterson,https://stats.innebandy.se/sasong/43/serie/35119/match/1372681
2024-01-13,17:00,Klubbhuset Herrar Div. 5,Stenungsunds IBK H5,Mölndals IBF H5,Stenungsund Arena,Mustafa Er,Senad Olevic,https://stats.innebandy.se/sasong/43/serie/35120/match/1372944
2024-01-13,17:30,Klubbhuset Herrar Div. 5,IBK Kungälv H5,Frölunda IBK H5,Kastellegårdshallen,Martin Andersson,Susanne Andersson,https://stats.innebandy.se/sasong/43/serie/35120/match/1372946
2024-01-13,12:00,Klubbhuset Herrar Div. 6,IBF Backadalen H6,Dingle AIK H6,Tuve Sporthall,Torbjörn Zahner,Roger Zahnér,https://stats.innebandy.se/sasong/43/serie/35121/match/1413071
2024-01-13,12:30,Klubbhuset Herrar Div. 6,Myggenäs IBK H6,Lindome IBK H6,Häggvallsskolan,Magnus Fredriksson,Pierre Eberhard Berg,https://stats.innebandy.se/sasong/43/serie/35121/match/1413072
2024-01-13,14:30,Klubbhuset Herrar Div. 6,Mölndals IBF H6,Floda IBK H6,Aktiviteten A-Hall,Sebastian Kiejs,Linus Svensson,https://stats.innebandy.se/sasong/43/serie/35121/match/1413074
2024-01-13,14:00,Damer Allsvenskan Södra,Lindome IBK,Craftstadens IBK Oskarshamn,Almåshallen A,Robin Boqvist,Pontus Ekengränd,https://stats.innebandy.se/sasong/43/serie/34689/match/1345320
2024-01-13,14:00,Damer Allsvenskan Södra,FBC Partille,Olofströms IBK,Partillebohallen,Aldin Hadziselmovic,Alexander Pavlovic,https://stats.innebandy.se/sasong/43/serie/34689/match/1345322
2024-01-13,14:00,Herrar Allsvenskan Södra,FBC Lerum,Fagerhult Habo IBK,Lerum Arena A,Mathias Damgaard,Josefine Hedelind,https://stats.innebandy.se/sasong/43/serie/34676/match/1340905
2024-01-13,14:00,Herrar Div 1 Västra Götaland,GS 86 AIF,IBK Kungälv,Forshaga Sporthall,Henrik Carlsson,Richard Claesson,https://stats.innebandy.se/sasong/43/serie/34681/match/1343026
2024-01-13,14:30,Herrar Div 1 Västra Götaland,Lindås IBK,Varla IBK,Lindås Waves Arena,Peter Jaeger,Måns Löfgren,https://stats.innebandy.se/sasong/43/serie/34681/match/1343027
2024-01-13,15:00,Herrar Div 1 Västra Götaland,Floda IBK,Träslövsläge IF,Nova Floda Sportcenter A-hall,Tobias Anderberg,Petter Enlund,https://stats.innebandy.se/sasong/43/serie/34681/match/1343024
2024-01-13,15:00,Juniorallsvenskan G DJ18,Månsarps IBK,Landvetter IBK,Norrahammars Sporthall,Johan Ferm,Anders A Nilsson,https://stats.innebandy.se/sasong/43/serie/35872/match/1392448
2024-01-13,16:45,Juniorallsvenskan H1 HJ18,FBC Partille,Pixbo IBF/IBK,Partillebohallen,Goran Kuduzovic,Wessam Abdellrazek,https://stats.innebandy.se/sasong/43/serie/35399/match/1362276
2024-01-13,17:00,Juniorallsvenskan H2 HJ18,Mölndals IBF,IK Zenith,Aktiviteten A-Hall,Sebastian Kiejs,Linus Svensson,https://stats.innebandy.se/sasong/43/serie/35400/match/1362684
2024-01-13,14:41,Klubbhuset Damer Veteraner,FBC Lerum DV,IBF Backadalen DV,Rydsbergshallen,Tommy Runhammar,Mustafa Kalajdzisalihovic,https://stats.innebandy.se/sasong/43/serie/35126/match/1417643
2024-01-13,15:00,Klubbhuset Damer Veteraner,Landvetter IBK DV,Lindome IBK DV,Pinntorps Idrottshall,Lazo Cesto,Henry Tames,https://stats.innebandy.se/sasong/43/serie/35126/match/1417638
2024-01-13,09:00,Klubbhuset F-12 Bamse Vår,Eken IBK F11/12/13 Lila,IK Zenith F11-12 Grön,Ekenhallen 1,Melker Kjellberg,Noel Hylén,https://stats.innebandy.se/sasong/43/serie/36872/match/1440342
